they	PR-PRP	they	
thyself	PR-PRP	thyself	
us	PR-PRP	us	
we	PR-PRP	we	
you	PR-PRP	you	
yours	PR-PRP	yours	
yourself	PR-PRP	yourself	
out	RP-RP	out	
up	RP-RP	up	
down	RP-RP	down	
off	RP-RP	off	
back	RP-RP	back	
over	RP-RP	over	
away	RP-RP	away	
upon	RP-RP	upon	
aside	RP-RP	aside	
along	RP-RP	along	
around	RP-RP	around	
unto	RP-RP	unto	
in	RP-RP	in	
on	RP-RP	on	
across	RP-RP	across	
through	RP-RP	through	
vnto	RP-RP	vnto	
thro	RP-RP	thro	
apart	RP-RP	apart	
whole	RP-RP	whole	
about	RP-RP	about	
behind	RP-RP	behind	
*	SYM-SYM	*	
=	SYM-SYM	=	
&	SYM-SYM	&	
to	IN	to	
to	INF-TO	to	
er	UH-UH	er	
ah	UH-UH	ah	
oh	UH-UH	oh	
hee	UH-UH	hee	
alas	UH-UH	alas	
amen	UH-UH	amen	
uh	UH-UH	uh	
hey	UH-UH	hey	
yes	UH-UH	yes	
quack	UH-UH	quack	
please	UH-UH	please	
goodbye	UH-UH	goodbye	
no	UH-UH	no	
boy	UH-UH	boy	
say	UH-UH	say	
well	UH-UH	well	
welcome	UH-UH	welcome	
man	UH-UH	man	
good-bye	UH-UH	good-bye	
hell	UH-UH	hell	
aw	UH-UH	aw	
hello	UH-UH	hello	
damn	UH-UH	damn	
indeed	UH-UH	indeed	
congratulations	UH-UH	Congratulations	
shucks	UH-UH	shuck	
wow	UH-UH	wow	
ahs	UH-UH	ahs	
aw	UH-UH	aw	
that	DT-WDT	that	
which	DT-WDT	which	
whatever	DT-WDT	whatever	
what	DT-WDT	what	
whose	POS-WP$	whose	
who	PR-WP	who	
what	PR-WP	what	
whom	PR-WP	whom	
whoever	PR-WP	whoever	
when	RB-WRB	when	
where	RB-WRB	where	
how	RB-WRB	how	
why	RB-WRB	why	
whenever	RB-WRB	whenever	
whereabout	RB-WRB	whereabout	
whereat	RB-WRB	whereat	
wherever	RB-WRB	wherever	
wherein	RB-WRB	wherein	
whereby	RB-WRB	whereby	
whereupon	RB-WRB	whereupon	
